,season,team,wt_rating,wt_rating_elo,sos,line,over_odds,under_odds,line_adj,team_nick,team_color,team_color2,team_logo_espn,over_probability,under_probability,hold
0,2003,ARI,-7.370543410719761,1344.545989855933,-0.7906269340163047,5.0,125,-155,4.849734101094671,Cardinals,#97233F,#000000,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,0.42236024844720504,0.5776397515527949,0.05228758169934622
1,2003,ATL,3.009228579201346,1566.5404520484747,0.8706929096336424,9.5,-115,-115,9.5,Falcons,#A71930,#000000,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,0.5,0.5,0.06976744186046502
2,2003,BAL,-1.6251365439333532,1487.4232084412315,-0.48342269493278345,7.5,-160,130,7.666732478157819,Ravens,#241773,#9E7C0C,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,0.5859872611464969,0.4140127388535031,0.050167224080267525
3,2003,BUF,1.5382397344240442,1519.6601335783362,1.0443850590744448,8.5,-130,100,8.558842003669639,Bills,#00338D,#C60C30,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,0.5306122448979592,0.4693877551020408,0.06521739130434767
4,2003,CAR,-0.8474252492723676,1465.6971005531868,0.6117313769854718,7.5,-115,-115,7.5,Panthers,#0085CA,#000000,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,0.5,0.5,0.06976744186046502
5,2003,CHI,-2.1128693888207266,1469.7350588228683,-0.3632503451500628,7.5,130,-160,7.333267521842181,Bears,#0B162A,#C83803,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,0.4140127388535032,0.5859872611464968,0.050167224080267525
6,2003,CIN,-5.468060237423744,1389.3546481316791,-0.33282791931242955,5.5,-130,100,5.558842003669638,Bengals,#FB4F14,#000000,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,0.5306122448979592,0.4693877551020408,0.06521739130434767
7,2003,CLE,-0.2811544608868126,1520.1385497419005,-0.5660140686335673,8.5,100,-130,8.441157996330363,Browns,#FF3C00,#311D00,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,0.4693877551020409,0.5306122448979591,0.06521739130434767
8,2003,DAL,-0.4162687612023963,1472.2642045317368,1.3209782526994327,7.5,130,-160,7.333267521842181,Cowboys,#002244,#B0B7BC,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,0.4140127388535032,0.5859872611464968,0.050167224080267525
9,2003,DEN,2.255793769084879,1574.6972612942689,0.06804732160498629,9.5,-120,-110,9.519433504951316,Broncos,#002244,#FB4F14,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,0.5101214574898786,0.4898785425101214,0.06926406926406914
10,2003,DET,-4.284226666265619,1415.118945843192,-0.22523660808805734,6.0,-140,110,6.09739983454946,Lions,#0076B6,#B0B7BC,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,0.550561797752809,0.449438202247191,0.059523809523809534
11,2003,GB,2.4433128837393263,1585.8045192828931,-0.36056438555277237,10.0,130,-160,9.833267521842181,Packers,#203731,#FFB612,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,0.4140127388535032,0.5859872611464968,0.050167224080267525
12,2003,HOU,-5.056147358445767,1361.2502411843218,1.1055420089604637,5.0,-130,100,5.058842003669638,Texans,#03202F,#A71930,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png,0.5306122448979592,0.4693877551020408,0.06521739130434767
